No.,Player,Performance,Market Value,90s,Nation,Pos,Squad,Age,Born,Matches,Starts,Minutes,Goals,Assists,Goals+Assists,Non Penalty Goals,Penalty Kicks,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xAG,npxG+xAG,PrgC,PrgC/90,PrgP,PrgP/90,PrgR,PrgR/90,Gls P90,Ast P90,G+A P90,G-PK P90,G+A-PK P90,Xg P90,xAG P90,xG+xAG P90,npxG P90,npxG+xAG P90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Shot Dist,FK,PK,PKatt,npxG/Sh,G-xG,np:G-xG,Passes Comp,Passes Comp/90,Passes Att,Cmp%,TotDist,TotDist/90,PrgDist,PrgDist/90,Short Cmp,Short Att,Short Cmp%,Med Cmp,Med Att,Med Cmp%,Long Cmp,Long Att,Long Cmp%,xA,A-xAG,KP,KP/90,finalThirdPasses,final3rdPasses/90,PenAreaPasses,PenAreaPasses/90,CrsPA,CrsPA/90,Live,Live/90,Dead,Dead/90,FK,Through,Through/90,Switches,Switches/90,Crosses,Crosses/90,Throw ins,Corners,Passes Off,Passes Blocked,SCA,SCA90,PassLive,PassDead,Take ons,GCA,GCA90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Tkl+Int,Tkl+Int/90,Clr,Clr/90,Err eading to shots,Touches,Touches/90,T Def Pen,T Def Pen/90,T Def 3rd,T Def 3rd/90,T Mid 3rd,T Mid 3rd/90,T Att 3rd,T Att 3rd/90,T Att Pen,T Att Pen/90,T Live,TO Att,TO Succ,TO Succ%,Tkld,Tkld%,Carries,Carries/90,FINAL 3RD CARRIES,FINAL 3RD CARRIES/90,CPA,Mis,Dis,PASS Rec,PASS Rec/90,Prg PASS REC,PKwon,PKcon,OG,AD Won,AD Lost,Won%,GoalsAg,GoalsAg90,SoTA,Saves,Save%,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,PKA,FK G ag,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,GKCmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
11,Thiago Alcántara,7.16,12,13.9,es ESP,MF,Liverpool,31,1991,18,14,"1,254",0,0,0,0,0,0,2,0,0.4,0.4,1.1,1.5,13,0.94,120,8.63,24,1.73,0,0,0,0,0,0.03,0.08,0.11,0.03,0.11,10,1,10,0.72,0.07,0,0,24.1,0,0,0,0.05,-0.4,-0.4,946,68.06,1097,86.2,17219,1238.78,4988,358.85,433,466,92.9,346,392,88.3,136,172,79.1,1.3,-1.1,17,1.22,110,7.91,20,1.44,1,0.07,1063,76.47,31,2.23,23,8,0.58,15,1.08,3,0.22,6,0,3,22,41,2.94,33,0,3,2,0.14,43,24,20,21,2,15,64,4.6,13,0.94,2,1251,90,45,3.24,272,19.57,796,57.27,188,13.53,8,0.58,1251,30,21,70,4,13.3,718,51.65,21,1.51,0,13,22,910,65.47,24,0,1,0,14,24,36.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Carlos Alcaraz,6.56,15,11.4,ar ARG,MF,Southampton,19,2002,18,13,"1,029",4,2,6,4,0,0,3,0,1.9,1.9,0.7,2.6,20,1.75,28,2.46,32,2.81,0.35,0.17,0.52,0.35,0.52,0.17,0.06,0.23,0.17,0.23,24,10,41.7,2.1,0.87,0.17,0.4,20,0,0,0,0.08,2.1,2.1,222,19.47,290,76.6,3147,276.05,669,58.68,114,137,83.2,80,95,84.2,8,19,42.1,0.7,1.3,5,0.44,20,1.75,6,0.53,0,0,279,24.47,9,0.79,1,2,0.18,4,0.35,4,0.35,1,0,2,10,22,1.92,14,0,2,4,0.35,10,5,2,7,1,14,11,0.96,11,0.96,0,430,37.72,14,1.23,73,6.4,234,20.53,130,11.4,23,2.02,430,28,13,46.4,11,39.3,258,22.63,17,1.49,2,30,24,296,25.96,32,0,0,0,7,27,20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Trent Alexander-Arnold,7.45,65,32.5,eng ENG,DF,Liverpool,23,1998,37,34,"2,923",2,9,11,2,0,0,5,0,2.4,2.4,11.5,13.8,43,1.32,235,7.23,139,4.28,0.06,0.28,0.34,0.06,0.34,0.07,0.35,0.43,0.07,0.43,40,8,20,1.23,0.25,0.05,0.25,23.8,5,0,0,0.06,-0.4,-0.4,2188,67.32,2912,75.1,41590,1279.69,16323,502.25,1000,1123,89,822,1045,78.7,331,642,51.6,9.1,-2.5,71,2.18,239,7.35,82,2.52,28,0.86,2393,73.63,509,15.66,70,26,0.8,59,1.82,252,7.75,341,98,10,37,124,3.82,81,34,3,17,0.52,57,40,32,16,9,25,100,3.08,41,1.26,2,3180,97.85,89,2.74,737,22.68,1631,50.18,837,25.75,44,1.35,3180,45,30,66.7,13,28.9,1778,54.71,39,1.2,8,35,21,2042,62.83,139,0,0,0,20,13,60.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Miguel Almirón,7.26,32,27.7,py PAR,FW,Newcastle Utd,28,1994,34,29,"2,491",11,2,13,11,0,0,2,0,8,8,3.2,11.1,77,2.78,124,4.48,264,9.53,0.4,0.07,0.47,0.4,0.47,0.29,0.11,0.4,0.29,0.4,69,20,29,2.49,0.72,0.16,0.55,16.4,0,0,0,0.12,3,3,811,29.28,982,82.6,10752,388.16,2657,95.92,513,567,90.5,223,276,80.8,29,40,72.5,3,-1.2,26,0.94,45,1.62,36,1.3,4,0.14,946,34.15,30,1.08,0,3,0.11,4,0.14,26,0.94,18,11,6,29,87,3.14,63,2,10,13,0.47,46,30,16,19,11,25,56,2.02,17,0.61,0,1300,46.93,25,0.9,147,5.31,417,15.05,760,27.44,138,4.98,1300,79,34,43,33,41.8,841,30.36,46,1.66,25,51,28,924,33.36,264,0,0,0,6,10,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Julián Álvarez,6.82,80,16.3,ar ARG,FW,Manchester City,22,2000,31,13,"1,465",9,0,9,8,1,1,0,0,7,6.2,1.8,8,38,2.33,37,2.27,99,6.07,0.55,0,0.55,0.49,0.49,0.43,0.11,0.54,0.38,0.49,46,20,43.5,2.83,1.23,0.17,0.4,16,0,1,1,0.13,2,1.8,395,24.23,503,78.5,5472,335.71,885,54.29,232,270,85.9,103,135,76.3,28,43,65.1,1.6,-1.8,18,1.1,22,1.35,13,0.8,2,0.12,478,29.33,21,1.29,2,7,0.43,3,0.18,26,1.6,4,4,4,17,52,3.2,39,0,6,5,0.31,26,16,3,13,10,13,28,1.72,6,0.37,0,654,40.12,8,0.49,46,2.82,255,15.64,360,22.09,89,5.46,653,38,21,55.3,14,36.8,406,24.91,18,1.1,17,28,24,506,31.04,99,1,0,0,8,23,25.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Daniel Amartey,6.73,12,17.9,gh GHA,DF,Leicester City,27,1994,20,18,"1,610",0,0,0,0,0,0,1,0,1.1,1.1,0.5,1.6,23,1.28,66,3.69,5,0.28,0,0,0,0,0,0.06,0.03,0.09,0.06,0.09,6,2,33.3,0.34,0.11,0,0,17.4,0,0,0,0.18,-1.1,-1.1,1015,56.7,1114,91.1,17506,977.99,6591,368.21,442,473,93.4,498,526,94.7,62,91,68.1,0.4,-0.5,5,0.28,58,3.24,1,0.06,0,0,1092,61.01,20,1.12,15,2,0.11,2,0.11,0,0,5,0,2,2,15,0.84,15,0,0,1,0.06,19,8,13,5,1,24,27,1.51,71,3.97,0,1279,71.45,185,10.34,658,36.76,578,32.29,46,2.57,9,0.5,1279,5,2,40,2,40,779,43.52,11,0.61,0,8,4,909,50.78,5,0,1,0,34,26,56.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Joachim Andersen,7.09,30,30.9,dk DEN,DF,Crystal Palace,26,1996,32,32,"2,782",1,0,1,1,0,0,8,0,1.8,1.8,1.3,3.1,16,0.52,105,3.4,7,0.23,0.03,0,0.03,0.03,0.03,0.06,0.04,0.1,0.06,0.1,22,9,40.9,0.71,0.29,0.05,0.11,13.9,1,0,0,0.08,-0.8,-0.8,1561,50.52,1972,79.2,36474,1180.39,13911,450.19,346,391,88.5,927,1007,92.1,281,534,52.6,1,-1.3,12,0.39,153,4.95,8,0.26,1,0.03,1840,59.55,123,3.98,107,4,0.13,44,1.42,10,0.32,13,1,9,13,25,0.81,20,3,0,1,0.03,42,22,30,12,0,28,66,2.14,188,6.08,0,2303,74.53,355,11.49,1232,39.87,996,32.23,89,2.88,39,1.26,2303,9,5,55.6,4,44.4,1318,42.65,8,0.26,2,8,3,1498,48.48,7,0,0,2,87,34,71.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Elliot Anderson,6.44,13,4.6,sct SCO,MF,Newcastle Utd,19,2002,22,3,410,0,1,1,0,0,0,0,0,1,1,1.3,2.3,23,5,24,5.22,35,7.61,0,0.22,0.22,0,0.22,0.22,0.28,0.51,0.22,0.51,11,4,36.4,2.41,0.88,0,0,16,0,0,0,0.09,-1,-1,150,32.61,198,75.8,2043,444.13,599,130.22,90,104,86.5,44,56,78.6,5,10,50,1.5,-0.3,9,1.96,15,3.26,4,0.87,0,0,193,41.96,3,0.65,0,1,0.22,0,0,9,1.96,2,1,2,10,22,4.83,16,0,2,1,0.22,11,5,5,3,3,11,17,3.7,2,0.43,0,286,62.17,7,1.52,44,9.57,99,21.52,151,32.83,39,8.48,286,29,10,34.5,13,44.8,160,34.78,15,3.26,12,9,10,182,39.57,35,0,0,0,11,5,68.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Jaidon Anthony,6.5,9,14,eng ENG,MF,Bournemouth,22,1999,30,11,"1,257",3,1,4,3,0,0,2,0,2.2,2.2,1,3.3,31,2.21,49,3.5,72,5.14,0.21,0.07,0.29,0.21,0.29,0.16,0.07,0.24,0.16,0.24,22,13,59.1,1.58,0.93,0.14,0.23,19.3,2,0,0,0.1,0.8,0.8,387,27.64,526,73.6,5818,415.57,1610,115,225,257,87.5,110,150,73.3,31,63,49.2,1.1,0,12,0.86,24,1.71,19,1.36,7,0.5,480,34.29,45,3.21,9,2,0.14,5,0.36,43,3.07,21,14,1,18,38,2.72,28,3,4,4,0.29,30,17,15,9,6,30,40,2.86,19,1.36,0,717,51.21,23,1.64,150,10.71,271,19.36,304,21.71,33,2.36,717,47,15,31.9,30,63.8,423,30.21,25,1.79,13,25,27,464,33.14,72,0,0,0,10,12,45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Michail Antonio,6.42,7,20.3,jm JAM,FW,West Ham,32,1990,33,21,"1,829",5,3,8,5,0,0,2,0,6.6,6.6,1.3,7.8,49,2.41,27,1.33,120,5.91,0.25,0.15,0.39,0.25,0.39,0.32,0.06,0.38,0.32,0.38,39,13,33.3,1.92,0.64,0.13,0.38,11.6,0,0,0,0.17,-1.6,-1.6,186,9.16,348,53.4,2663,131.18,501,24.68,114,168,67.9,55,108,50.9,12,31,38.7,0.8,1.7,15,0.74,12,0.59,8,0.39,2,0.1,335,16.5,12,0.59,1,1,0.05,1,0.05,35,1.72,8,0,1,18,39,1.92,24,0,6,9,0.44,14,7,1,8,5,13,19,0.94,9,0.44,0,596,29.36,15,0.74,39,1.92,262,12.91,308,15.17,80,3.94,596,65,26,40,29,44.6,375,18.47,26,1.28,18,76,45,476,23.45,120,0,1,0,50,88,36.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
