No.,Player,Performance,Market Value,90s,Nation,Pos,Squad,Age,Born,Matches,Starts,Minutes,Goals,Assists,Goals+Assists,Non Penalty Goals,Penalty Kicks,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xAG,npxG+xAG,PrgC,PrgC/90,PrgP,PrgP/90,PrgR,PrgR/90,Gls P90,Ast P90,G+A P90,G-PK P90,G+A-PK P90,Xg P90,xAG P90,xG+xAG P90,npxG P90,npxG+xAG P90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Shot Dist,FK,PK,PKatt,npxG/Sh,G-xG,np:G-xG,Passes Comp,Passes Comp/90,Passes Att,Cmp%,TotDist,TotDist/90,PrgDist,PrgDist/90,Short Cmp,Short Att,Short Cmp%,Med Cmp,Med Att,Med Cmp%,Long Cmp,Long Att,Long Cmp%,xA,A-xAG,KP,KP/90,finalThirdPasses,final3rdPasses/90,PenAreaPasses,PenAreaPasses/90,CrsPA,CrsPA/90,Live,Live/90,Dead,Dead/90,FK,Through,Through/90,Switches,Switches/90,Crosses,Crosses/90,Throw ins,Corners,Passes Off,Passes Blocked,SCA,SCA90,PassLive,PassDead,Take ons,GCA,GCA90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Tkl+Int,Tkl+Int/90,Clr,Clr/90,Err eading to shots,Touches,Touches/90,T Def Pen,T Def Pen/90,T Def 3rd,T Def 3rd/90,T Mid 3rd,T Mid 3rd/90,T Att 3rd,T Att 3rd/90,T Att Pen,T Att Pen/90,T Live,TO Att,TO Succ,TO Succ%,Tkld,Tkld%,Carries,Carries/90,FINAL 3RD CARRIES,FINAL 3RD CARRIES/90,CPA,Mis,Dis,PASS Rec,PASS Rec/90,Prg PASS REC,PKwon,PKcon,OG,AD Won,AD Lost,Won%,GoalsAg,GoalsAg90,SoTA,Saves,Save%,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,PKA,FK G ag,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,GKCmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
98,Craig Dawson,6.76,2,15.7,eng ENG,DF,Wolves,32,1990,17,17,"1,414",1,0,1,1,0,0,4,0,1,1,0,1,5,0.32,44,2.8,1,0.06,0.06,0,0.06,0.06,0.06,0.06,0,0.06,0.06,0.06,11,2,18.2,0.7,0.13,0.09,0.5,11.5,0,0,0,0.09,0,0,780,49.68,926,84.2,16202,1031.97,5539,352.8,231,257,89.9,419,455,92.1,122,193,63.2,0.2,0,1,0.06,51,3.25,3,0.19,0,0,897,57.13,27,1.72,22,0,0,4,0.25,0,0,5,0,2,3,6,0.38,6,0,0,0,0,9,6,6,3,0,31,21,1.34,74,4.71,2,1084,69.04,182,11.59,619,39.43,437,27.83,32,2.04,15,0.96,1084,4,3,75,0,0,628,40,3,0.19,0,5,2,748,47.64,1,0,0,0,34,36,48.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Kevin De Bruyne,7.74,70,26.9,be BEL,MF,Manchester City,31,1991,32,28,"2,417",7,16,23,7,0,0,1,0,5.6,5.6,13.7,19.3,100,3.72,246,9.14,245,9.11,0.26,0.6,0.86,0.26,0.86,0.21,0.51,0.72,0.21,0.72,65,21,32.3,2.42,0.78,0.11,0.33,23,7,0,0,0.09,1.4,1.4,1192,44.31,1626,73.3,22165,823.98,6516,242.23,538,633,85,477,629,75.8,160,275,58.2,14.1,2.3,96,3.57,124,4.61,96,3.57,21,0.78,1454,54.05,160,5.95,53,28,1.04,27,1,226,8.4,31,72,12,41,176,6.55,120,33,8,31,1.15,28,12,3,12,13,27,37,1.38,10,0.37,0,1860,69.14,13,0.48,100,3.72,743,27.62,1041,38.7,100,3.72,1860,61,32,52.5,19,31.1,1129,41.97,81,3.01,16,42,29,1445,53.72,245,2,0,0,13,13,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Siriki Dembélé,6.51,2,1.2,ci CIV,FW,Bournemouth,25,1996,6,0,110,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,5,4.17,4,3.33,11,9.17,0,0,0,0,0,0.15,0.25,0.41,0.15,0.41,2,2,100,1.64,1.64,0,0,16.6,0,0,0,0.09,-0.2,-0.2,37,30.83,47,78.7,543,452.5,223,185.83,22,29,75.9,10,13,76.9,2,2,100,0.2,-0.3,4,3.33,2,1.67,3,2.5,2,1.67,45,37.5,2,1.67,0,0,0,0,0,3,2.5,2,0,0,1,5,4.09,5,0,0,0,0,3,1,2,1,0,1,4,3.33,1,0.83,0,71,59.17,1,0.83,10,8.33,30,25,33,27.5,3,2.5,71,10,6,60,3,30,47,39.17,2,1.67,1,9,5,50,41.67,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Leander Dendoncker,6.58,15,7.7,be BEL,MF,Aston Villa,27,1995,20,7,697,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.5,1,0.13,18,2.34,2,0.26,0,0,0,0,0,0.01,0.06,0.07,0.01,0.07,2,0,0,0.26,0,0,0,26.9,0,0,0,0.03,-0.1,-0.1,248,32.21,284,87.3,3948,512.73,809,105.06,119,128,93,111,121,91.7,11,18,61.1,0.1,-0.5,5,0.65,17,2.21,0,0,0,0,278,36.1,5,0.65,4,0,0,0,0,2,0.26,1,0,1,5,8,1.03,6,0,0,0,0,19,9,11,6,2,19,29,3.77,12,1.56,0,365,47.4,21,2.73,102,13.25,219,28.44,46,5.97,7,0.91,365,5,3,60,2,40,171,22.21,6,0.78,1,8,3,207,26.88,2,0,0,0,10,8,55.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Emmanuel Dennis,6.54,7,8,ng NGA,FW,Nott'ham Forest,24,1997,19,6,720,2,2,4,2,0,0,3,0,1.9,1.9,0.6,2.4,24,3,17,2.13,63,7.88,0.25,0.25,0.5,0.25,0.5,0.23,0.07,0.3,0.23,0.3,21,7,33.3,2.62,0.87,0.1,0.29,13.2,2,0,0,0.09,0.1,0.1,124,15.5,183,67.8,1860,232.5,382,47.75,72,93,77.4,40,58,69,8,11,72.7,0.4,1.4,7,0.88,7,0.88,4,0.5,2,0.25,178,22.25,4,0.5,0,0,0,0,0,11,1.38,3,0,1,14,25,3.12,14,1,2,3,0.37,17,11,5,5,7,13,19,2.38,6,0.75,0,335,41.88,5,0.63,55,6.88,118,14.75,177,22.13,40,5,335,53,18,34,26,49.1,211,26.38,15,1.88,8,32,25,219,27.38,63,0,0,0,13,16,44.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Kiernan Dewsbury-Hall,7.01,30,25.6,eng ENG,MF,Leicester City,23,1998,31,28,"2,306",2,2,4,2,0,0,5,1,2.4,2.4,3.3,5.6,68,2.66,132,5.16,91,3.55,0.08,0.08,0.16,0.08,0.16,0.09,0.13,0.22,0.09,0.22,26,6,23.1,1.01,0.23,0.08,0.33,21.3,0,0,0,0.09,-0.4,-0.4,872,34.06,1154,75.6,14495,566.21,3746,146.33,448,526,85.2,311,389,79.9,84,161,52.2,2.6,-1.3,39,1.52,111,4.34,23,0.9,4,0.16,1120,43.75,24,0.94,9,9,0.35,20,0.78,46,1.8,3,7,10,26,78,3.04,61,0,8,9,0.35,53,29,14,34,5,55,81,3.16,21,0.82,0,1490,58.2,48,1.88,278,10.86,795,31.05,443,17.3,50,1.95,1490,74,40,54.1,26,35.1,903,35.27,36,1.41,16,73,32,1038,40.55,91,0,0,0,15,13,53.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Ibrahima Diallo,6.6,7,9.1,fr FRA,MF,Southampton,23,1999,18,11,819,0,0,0,0,0,0,4,0,0.2,0.2,0.1,0.3,9,0.99,28,3.08,6,0.66,0,0,0,0,0,0.02,0.01,0.04,0.02,0.04,6,0,0,0.66,0,0,0,28.4,0,0,0,0.03,-0.2,-0.2,317,34.84,402,78.9,4768,523.96,1064,116.92,181,206,87.9,112,139,80.6,16,34,47.1,0.1,-0.1,4,0.44,24,2.64,2,0.22,0,0,395,43.41,7,0.77,7,0,0,2,0.22,4,0.44,0,0,0,9,10,1.1,8,0,1,0,0,25,15,14,10,1,11,31,3.41,11,1.21,0,499,54.84,18,1.98,128,14.07,308,33.85,74,8.13,4,0.44,499,13,8,61.5,5,38.5,287,31.54,4,0.44,0,16,9,294,32.31,6,0,0,0,15,9,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Rúben Dias,7.19,80,22.2,pt POR,DF,Manchester City,25,1997,26,22,"1,998",0,0,0,0,0,0,3,0,1.3,1.3,0.6,1.9,14,0.63,98,4.41,2,0.09,0,0,0,0,0,0.06,0.03,0.09,0.06,0.09,10,2,20,0.45,0.09,0,0,9.1,0,0,0,0.13,-1.3,-1.3,1928,86.85,2080,92.7,35553,1601.49,12572,566.31,696,726,95.9,1074,1122,95.7,143,203,70.4,0.3,-0.6,3,0.14,135,6.08,0,0,0,0,2029,91.4,51,2.3,38,1,0.05,6,0.27,1,0.05,7,0,0,7,15,0.68,11,1,0,1,0.05,21,13,10,10,1,21,39,1.76,56,2.52,1,2237,100.77,176,7.93,881,39.68,1280,57.66,83,3.74,22,0.99,2237,10,8,80,1,10,1497,67.43,22,0.99,1,1,4,1791,80.68,2,0,0,0,44,28,61.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Luis Díaz,7.08,75,11.1,co COL,FW,Liverpool,25,1997,17,11,996,4,2,6,4,0,0,2,0,2.5,2.5,1.5,4,39,3.51,49,4.41,116,10.45,0.36,0.18,0.54,0.36,0.54,0.22,0.14,0.36,0.22,0.36,27,8,29.6,2.44,0.72,0.15,0.5,15.1,0,0,0,0.09,1.5,1.5,376,33.87,462,81.4,5698,513.33,1124,101.26,215,256,84,127,150,84.7,25,27,92.6,1.3,0.5,13,1.17,25,2.25,13,1.17,1,0.09,453,40.81,7,0.63,0,0,0,7,0.63,8,0.72,6,1,2,15,41,3.7,29,0,7,6,0.54,17,11,4,8,5,8,23,2.07,2,0.18,0,618,55.68,4,0.36,47,4.23,247,22.25,336,30.27,77,6.94,618,65,32,49.2,25,38.5,440,39.64,31,2.79,22,30,37,500,45.05,116,0,0,0,8,23,25.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Eric Dier,6.75,18,31.3,eng ENG,DF,Tottenham,28,1994,33,31,"2,818",2,1,3,2,0,0,3,0,1.6,1.6,1.2,2.8,9,0.29,87,2.78,14,0.45,0.06,0.03,0.1,0.06,0.1,0.05,0.04,0.09,0.05,0.09,17,4,23.5,0.54,0.13,0.12,0.5,11.8,2,0,0,0.1,0.4,0.4,1708,54.57,2001,85.4,32594,1041.34,12717,406.29,636,688,92.4,866,934,92.7,179,317,56.5,0.6,-0.2,7,0.22,76,2.43,8,0.26,3,0.1,1929,61.63,68,2.17,58,2,0.06,17,0.54,11,0.35,8,0,4,15,29,0.93,24,1,0,2,0.06,30,19,16,12,2,41,65,2.08,112,3.58,2,2274,72.65,370,11.82,1333,42.59,866,27.67,84,2.68,25,0.8,2274,6,3,50,2,33.3,1368,43.71,9,0.29,1,10,3,1600,51.12,14,0,0,0,80,35,69.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Lucas Digne,6.56,15,16.7,fr FRA,DF,Aston Villa,29,1993,28,18,"1,502",1,0,1,1,0,0,5,0,0.4,0.4,1.9,2.3,29,1.74,57,3.41,89,5.33,0.06,0,0.06,0.06,0.06,0.02,0.11,0.14,0.02,0.14,8,3,37.5,0.48,0.18,0.13,0.33,20.5,4,0,0,0.05,0.6,0.6,696,41.68,927,75.1,11016,659.64,4245,254.19,387,432,89.6,247,337,73.3,49,105,46.7,1.9,-1.9,18,1.08,40,2.4,23,1.38,14,0.84,749,44.85,177,10.6,23,0,0,4,0.24,77,4.61,142,12,1,23,29,1.74,24,4,0,0,0,30,12,20,9,1,18,48,2.87,45,2.69,0,1096,65.63,64,3.83,365,21.86,396,23.71,342,20.48,24,1.44,1096,18,3,16.7,11,61.1,552,33.05,14,0.84,2,16,12,625,37.43,89,0,1,1,26,17,60.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Issa Diop,6.92,22,22.4,fr FRA,DF,Fulham,25,1997,25,21,"2,012",1,0,1,1,0,0,2,0,0.3,0.3,0.4,0.7,13,0.58,70,3.13,4,0.18,0.04,0,0.04,0.04,0.04,0.01,0.02,0.03,0.01,0.03,3,2,66.7,0.13,0.09,0.33,0.5,12.3,0,0,0,0.09,0.7,0.7,1216,54.29,1399,86.9,23784,1061.79,7827,349.42,386,427,90.4,710,761,93.3,112,189,59.3,0.5,-0.4,2,0.09,69,3.08,4,0.18,0,0,1352,60.36,46,2.05,41,0,0,8,0.36,2,0.09,1,0,1,8,9,0.4,9,0,0,0,0,28,19,18,9,1,24,63,2.81,86,3.84,0,1606,71.7,191,8.53,828,36.96,762,34.02,28,1.25,9,0.4,1606,5,3,60,1,20,1026,45.8,5,0.22,0,10,1,1115,49.78,4,0,2,0,33,24,57.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Moussa Djenepo,6.61,6.5,7.9,ml MLI,DF,Southampton,24,1998,16,7,710,0,2,2,0,0,0,1,0,0.2,0.2,0.5,0.7,27,3.42,19,2.41,39,4.94,0,0.25,0.25,0,0.25,0.02,0.06,0.09,0.02,0.09,3,2,66.7,0.38,0.25,0,0,13.8,0,0,0,0.06,-0.2,-0.2,179,22.66,244,73.4,2605,329.75,772,97.72,104,119,87.4,60,83,72.3,8,20,40,0.4,1.5,9,1.14,13,1.65,5,0.63,3,0.38,216,27.34,27,3.42,3,0,0,2,0.25,12,1.52,24,0,1,11,17,2.15,12,0,2,4,0.51,19,11,13,5,1,19,30,3.8,7,0.89,0,358,45.32,16,2.03,103,13.04,158,20,102,12.91,16,2.03,358,42,19,45.2,17,40.5,197,24.94,11,1.39,6,15,7,182,23.04,39,0,0,0,3,10,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Matt Doherty,6.98,5,7.4,ie IRL,DF,Tottenham,30,1992,12,7,667,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1,16,2.16,20,2.7,57,7.7,0.13,0,0.13,0.13,0.13,0.1,0.04,0.14,0.1,0.14,10,2,20,1.35,0.27,0.1,0.5,12.1,0,0,0,0.08,0.2,0.2,329,44.46,408,80.6,4896,661.62,1222,165.14,190,204,93.1,107,137,78.1,18,35,51.4,0.3,-0.3,6,0.81,14,1.89,5,0.68,3,0.41,345,46.62,61,8.24,2,0,0,1,0.14,18,2.43,59,0,2,8,18,2.43,13,0,2,3,0.41,16,10,12,3,1,11,24,3.24,14,1.89,1,500,67.57,27,3.65,144,19.46,184,24.86,172,23.24,24,3.24,500,12,5,41.7,4,33.3,247,33.38,5,0.68,2,12,3,306,41.35,57,0,0,0,20,13,60.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Gabriel Dos Santos,7.16,55,37.9,br BRA,DF,Arsenal,24,1997,38,38,"3,409",3,0,3,3,0,0,5,0,5.1,5.1,0.3,5.3,18,0.47,153,4.04,16,0.42,0.08,0,0.08,0.08,0.08,0.13,0.01,0.14,0.13,0.14,32,9,28.1,0.84,0.24,0.09,0.33,11.9,0,0,0,0.16,-2.1,-2.1,2155,56.86,2411,89.4,38355,1012.01,13522,356.78,870,922,94.4,1111,1180,94.2,150,246,61,0.6,-0.3,5,0.13,171,4.51,3,0.08,0,0,2318,61.16,89,2.35,60,1,0.03,11,0.29,5,0.13,6,0,4,19,24,0.63,21,0,0,2,0.05,48,30,29,15,4,49,80,2.11,125,3.3,2,2776,73.25,307,8.1,1153,30.42,1419,37.44,215,5.67,53,1.4,2776,3,2,66.7,0,0,1746,46.07,43,1.13,3,19,4,1934,51.03,16,0,2,0,100,76,56.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Abdoulaye Doucouré,6.96,12,17,ml MLI,MF,Everton,29,1993,25,17,"1,533",5,2,7,5,0,0,6,1,2.4,2.4,2.2,4.6,23,1.35,38,2.24,66,3.88,0.29,0.12,0.41,0.29,0.41,0.14,0.13,0.27,0.14,0.27,20,8,40,1.17,0.47,0.25,0.63,13.2,0,0,0,0.12,2.6,2.6,430,25.29,548,78.5,5637,331.59,1333,78.41,262,317,82.6,140,170,82.4,7,13,53.8,1.4,-0.2,22,1.29,29,1.71,10,0.59,0,0,530,31.18,16,0.94,0,1,0.06,0,0,8,0.47,0,0,2,14,45,2.65,38,0,3,3,0.18,31,20,9,15,7,26,44,2.59,11,0.65,0,713,41.94,18,1.06,156,9.18,327,19.24,242,14.24,45,2.65,713,33,20,60.6,11,33.3,371,21.82,16,0.94,7,27,13,440,25.88,66,0,1,0,13,30,30.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Cheick Doucouré,7.12,35,30.8,ml MLI,MF,Crystal Palace,22,2000,34,34,"2,769",0,3,3,0,0,0,10,1,1.4,1.4,1.9,3.4,18,0.58,140,4.55,17,0.55,0,0.1,0.1,0,0.1,0.05,0.06,0.11,0.05,0.11,36,7,19.4,1.17,0.23,0,0,24.6,0,0,0,0.04,-1.4,-1.4,1038,33.7,1247,83.2,17432,565.97,5352,173.77,478,535,89.3,460,530,86.8,75,104,72.1,1.2,1.1,26,0.84,110,3.57,11,0.36,1,0.03,1229,39.9,16,0.52,16,3,0.1,2,0.06,6,0.19,0,0,2,30,61,1.98,48,0,2,6,0.2,77,46,40,33,4,47,133,4.32,48,1.56,0,1577,51.2,94,3.05,444,14.42,894,29.03,255,8.28,15,0.49,1577,21,15,71.4,6,28.6,761,24.71,25,0.81,1,28,20,884,28.7,17,0,0,0,30,29,50.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Flynn Downes,6.31,9,8.5,eng ENG,MF,West Ham,23,1999,21,7,762,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,3,0.35,22,2.59,11,1.29,0,0,0,0,0,0.05,0.01,0.06,0.05,0.06,4,1,25,0.47,0.12,0,0,14.6,0,0,0,0.11,-0.4,-0.4,289,34,331,87.3,4062,477.88,921,108.35,183,194,94.3,86,97,88.7,10,14,71.4,0.1,-0.1,2,0.24,25,2.94,1,0.12,0,0,323,38,7,0.82,2,0,0,2,0.24,3,0.35,0,0,1,6,13,1.54,8,0,0,0,0,16,9,4,10,2,15,23,2.71,6,0.71,0,405,47.65,14,1.65,74,8.71,265,31.18,68,8,5,0.59,405,2,1,50,0,0,224,26.35,5,0.59,1,11,6,276,32.47,11,0,0,0,9,12,42.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Cody Drameh,6.79,12,0.8,eng ENG,DF,Leeds United,20,2001,1,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.5,3,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,37.5,38,78.9,457,571.25,153,191.25,17,21,81,11,12,91.7,2,5,40,0,0,0,0,2,2.5,0,0,0,0,31,38.75,7,8.75,1,0,0,0,0,1,1.25,6,0,0,1,1,1.3,1,0,0,0,0,5,4,0,4,1,0,6,7.5,1,1.25,0,44,55,1,1.25,7,8.75,26,32.5,11,13.75,0,0,44,1,1,100,0,0,17,21.25,1,1.25,0,1,1,23,28.75,3,0,0,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Lewis Dunk,6.97,16,36,eng ENG,DF,Brighton,30,1991,36,36,"2,000",1,0,1,1,0,0,4,0,1.7,1.7,1,2.7,19,0.53,120,3.33,5,0.14,0.03,0,0.03,0.03,0.03,0.05,0.03,0.07,0.05,0.07,22,3,13.6,0.61,0.08,0.05,0.33,11.7,1,0,0,0.08,-0.7,-0.7,2000,55.56,2500,90.3,30000,833.33,12000,333.33,800,900,94.5,1200,1200,95.3,279,428,65.2,0.9,-1,9,0.25,178,4.94,9,0.25,1,0.03,2000,55.56,80,2.22,70,4,0.11,21,0.58,2,0.06,10,0,3,13,32,0.89,31,0,0,2,0.06,30,19,19,9,2,37,64,1.78,81,2.25,1,3461,96.14,428,11.89,1665,46.25,1712,47.56,97,2.69,34,0.94,2700,5,4,80,0,0,1200,33.33,21,0.58,0,13,5,2586,71.83,5,0,4,1,68,47,59.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Jhon Durán,6.02,17,1.5,co COL,FW,Aston Villa,18,2003,12,0,136,0,0,0,0,0,0,1,0,0.6,0.6,0,0.6,4,2.67,4,2.67,13,8.67,0,0,0,0,0,0.37,0.02,0.39,0.37,0.39,7,2,28.6,4.63,1.32,0,0,19.8,0,0,0,0.08,-0.6,-0.6,16,10.67,29,55.2,264,176,47,31.33,8,12,66.7,7,12,58.3,1,2,50,0,0,1,0.67,1,0.67,1,0.67,0,0,26,17.33,3,2,0,0,0,0,0,2,1.33,1,0,0,1,5,3.31,3,0,0,0,0,2,2,0,1,1,0,4,2.67,2,1.33,0,57,38,3,2,3,2,26,17.33,29,19.33,6,4,57,2,1,50,1,50,33,22,5,3.33,1,8,3,41,27.33,13,0,0,0,7,10,41.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Odsonne Édouard,6.43,20,20,fr FRA,FW,Crystal Palace,24,1998,35,20,"1,803",5,2,7,5,0,0,3,0,4.2,4.2,1.2,5.4,29,1.45,32,1.6,100,5,0.25,0.1,0.35,0.25,0.35,0.21,0.06,0.27,0.21,0.27,39,15,38.5,1.95,0.75,0.13,0.33,12.5,0,0,0,0.11,0.8,0.8,295,14.75,412,71.6,3307,165.35,535,26.75,212,266,79.7,54,86,62.8,5,10,50,0.8,0.8,17,0.85,9,0.45,9,0.45,0,0,390,19.5,20,1,0,1,0.05,0,0,4,0.2,0,0,2,12,44,2.2,32,0,1,4,0.2,25,13,7,12,6,17,28,1.4,22,1.1,0,672,33.6,25,1.25,68,3.4,317,15.85,293,14.65,95,4.75,672,46,16,34.8,28,60.9,354,17.7,21,1.05,21,60,51,479,23.95,100,0,0,0,41,77,34.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Samuel Edozie,6.41,8,6.3,eng ENG,FW,Southampton,19,2003,17,5,567,0,0,0,0,0,0,0,0,0.9,0.9,0.4,1.3,26,4.13,13,2.06,39,6.19,0,0,0,0,0,0.14,0.06,0.2,0.14,0.2,8,3,37.5,1.27,0.48,0,0,16.5,0,0,0,0.11,-0.9,-0.9,111,17.62,164,67.7,1348,213.97,354,56.19,75,93,80.6,22,34,64.7,5,10,50,0.4,-0.4,8,1.27,6,0.95,6,0.95,1,0.16,163,25.87,0,0,0,1,0.16,0,0,11,1.75,0,0,1,12,20,3.18,13,0,3,0,0,17,10,6,10,1,7,23,3.65,6,0.95,0,278,44.13,4,0.63,48,7.62,86,13.65,148,23.49,32,5.08,278,37,12,32.4,16,43.2,183,29.05,21,3.33,13,24,12,188,29.84,39,1,0,0,6,12,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Anthony Elanga,6.52,18,4.7,se SWE,FW,Manchester Utd,20,2002,16,5,426,0,1,1,0,0,0,0,0,0.7,0.7,0.9,1.6,12,2.55,8,1.7,28,5.96,0,0.21,0.21,0,0.21,0.15,0.19,0.34,0.15,0.34,10,4,40,2.11,0.85,0,0,13.8,0,0,0,0.07,-0.7,-0.7,95,20.21,130,73.1,1201,255.53,298,63.4,65,86,75.6,23,32,71.9,3,3,100,1,0.1,6,1.28,3,0.64,3,0.64,0,0,127,27.02,3,0.64,0,0,0,1,0.21,7,1.49,2,0,0,2,17,3.59,13,0,0,1,0.21,3,0,0,2,1,4,5,1.06,4,0.85,0,197,41.91,4,0.85,26,5.53,71,15.11,100,21.28,28,5.96,197,15,5,33.3,7,46.7,109,23.19,3,0.64,7,13,7,139,29.57,28,0,0,0,8,11,42.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Harvey Elliott,6.84,35,17.9,eng ENG,MF,Liverpool,19,2003,32,18,"1,613",1,2,3,1,0,0,2,0,2.1,2.1,3.6,5.7,54,3.02,142,7.93,129,7.21,0.06,0.11,0.17,0.06,0.17,0.12,0.2,0.32,0.12,0.32,36,12,33.3,2.01,0.67,0.03,0.08,19.3,0,0,0,0.06,-1.1,-1.1,809,45.2,1009,80.2,12346,689.72,3197,178.6,442,494,89.5,296,363,81.5,45,85,52.9,4.3,-1.6,26,1.45,68,3.8,41,2.29,6,0.34,962,53.74,39,2.18,0,8,0.45,4,0.22,34,1.9,10,2,8,24,75,4.19,62,1,5,10,0.56,27,18,6,12,9,26,42,2.35,8,0.45,0,1194,66.7,14,0.78,147,8.21,566,31.62,491,27.43,50,2.79,1194,42,19,45.2,15,35.7,759,42.4,40,2.23,10,26,23,867,48.44,129,0,0,0,4,16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
